Country,City or Region (if applicable),Resolution,Year,Month (if applicable),Pollutant,Concentration,Unit,Method of Measurement,Data Source (Link),(Comments)
Nepal,Embassy Kathmandu,Monthly,2018,6,O3,37.19305556,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,7,O3,23.02894356,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,8,O3,21.25,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,9,O3,24.71388889,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,10,O3,32.18446602,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,11,O3,23.15642458,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Embassy Kathmandu,Monthly,2018,12,O3,16.15188172,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Embassy_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,1,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,2,PM2.5,109.7487952,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,3,PM2.5,82.96847826,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,4,PM2.5,90.16944444,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,5,PM2.5,52.60244898,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,6,PM2.5,34.67875,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,7,PM2.5,18.74623656,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,8,PM2.5,18.26399457,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,9,PM2.5,24.74180556,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,10,PM2.5,34.65498652,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,11,PM2.5,60.79692058,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,12,PM2.5,86.47044025,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,1,PM2.5,99.76225071,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,2,PM2.5,102.0516917,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,3,PM2.5,94.74433962,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,4,PM2.5,67.88145049,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,5,PM2.5,42.33860846,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,6,PM2.5,35.56347222,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,7,PM2.5,14.93051075,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,8,PM2.5,14.56783784,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,9,PM2.5,20.9112835,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,10,PM2.5,43.53296854,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,11,PM2.5,72.27980501,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,12,PM2.5,101.3908602,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,1,O3,6,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,2,O3,23.08661417,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,3,O3,36.44086022,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,4,O3,44.07222222,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,5,O3,41.23407407,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,6,O3,41.00138889,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,7,O3,21.87903226,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,8,O3,23.2574124,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,9,O3,28.65555556,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,10,O3,29.8561828,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,11,O3,24.50138889,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2017,12,O3,20.48790323,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,1,O3,22.11290323,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,2,O3,21.34392523,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,3,O3,33.52560647,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,4,O3,32.75138889,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,5,O3,32.1061828,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,6,O3,27.39444444,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,7,O3,15.20295699,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,8,O3,14.13709677,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,9,O3,16.9375,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,10,O3,23.16129032,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,11,O3,17.24094708,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
Nepal,Phora Durbar Kathmandu,Monthly,2018,12,O3,14.1155914,ppb,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#Nepal$Phora_Durbar_Kathmandu,
India,New Delhi,Monthly,2015,1,PM2.5,337.9,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,2,PM2.5,107.0509615,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,3,PM2.5,70.5332871,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,4,PM2.5,61.95726257,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,5,PM2.5,72.93706777,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,6,PM2.5,55.07729805,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,7,PM2.5,33.27557377,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,8,PM2.5,32.80781671,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,9,PM2.5,49.88198582,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,10,PM2.5,104.0450785,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,11,PM2.5,236.309901,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2015,12,PM2.5,240.3493188,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,1,PM2.5,285.6149194,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,2,PM2.5,142.1889368,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,3,PM2.5,80.87673049,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,4,PM2.5,89.03777778,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,5,PM2.5,72.66548295,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,6,PM2.5,48.96472222,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,7,PM2.5,38.00061069,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,8,PM2.5,30.56142473,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,9,PM2.5,47.08730385,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,10,PM2.5,126.7255088,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,11,PM2.5,296.630441,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2016,12,PM2.5,215.8180108,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,1,PM2.5,165.3396601,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,2,PM2.5,106.15024,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,3,PM2.5,73.65142469,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,4,PM2.5,79.82481203,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,5,PM2.5,80.73550624,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,6,PM2.5,47.39472222,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,7,PM2.5,30.44247312,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,8,PM2.5,34.66450382,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,9,PM2.5,52.60746004,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,10,PM2.5,146.4600559,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,11,PM2.5,271.8801389,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2017,12,PM2.5,210.5160377,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,1,PM2.5,224.6591398,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,2,PM2.5,121.651468,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,3,PM2.5,82.37405914,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,4,PM2.5,71.58529412,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,5,PM2.5,72.0433518,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,6,PM2.5,70.11448468,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,7,PM2.5,38.19661705,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,8,PM2.5,31.8124424,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,9,PM2.5,37.28925477,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,10,PM2.5,112.9019471,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,11,PM2.5,181.7738028,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,New Delhi,Monthly,2018,12,PM2.5,208.0239247,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$New_Delhi,
India,Chennai,Monthly,2015,1,PM2.5,39.1,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,2,PM2.5,32.48333333,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,3,PM2.5,34.06895565,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,4,PM2.5,13.90045802,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,5,PM2.5,30.4726,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,6,PM2.5,20.6420712,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,7,PM2.5,23.56450567,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,8,PM2.5,20.27725118,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,9,PM2.5,19.31275168,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,10,PM2.5,26.97439199,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,11,PM2.5,29.37933333,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2015,12,PM2.5,39.93658537,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,1,PM2.5,48.81722561,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,2,PM2.5,35.83245283,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,3,PM2.5,26.36463023,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,4,PM2.5,17.73533225,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,5,PM2.5,22.06784232,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,6,PM2.5,43.33063584,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,7,PM2.5,33.45489614,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,8,PM2.5,35.85939227,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,9,PM2.5,36.02978339,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,10,PM2.5,60.18340611,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,11,PM2.5,68.71617647,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2016,12,PM2.5,68.26960352,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,1,PM2.5,48.08241758,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,2,PM2.5,42.63590604,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,3,PM2.5,24.84036568,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,4,PM2.5,25.75432836,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,5,PM2.5,22.98423989,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,6,PM2.5,20.34220963,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,7,PM2.5,25.59548564,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,8,PM2.5,22.28352113,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,9,PM2.5,21.40027933,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,10,PM2.5,38.26608947,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,11,PM2.5,47.40302115,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2017,12,PM2.5,61.47964237,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,1,PM2.5,69.64224966,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,2,PM2.5,43.70132013,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,3,PM2.5,17.96323077,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,4,PM2.5,15.69303977,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,5,PM2.5,17.02360335,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,6,PM2.5,25.30548341,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,7,PM2.5,25.34435262,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,8,PM2.5,19.74156805,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,9,PM2.5,19.6,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,10,PM2.5,13.79428571,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,11,PM2.5,NA,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Chennai,Monthly,2018,12,PM2.5,53.31762376,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Chennai,
India,Kolkata,Monthly,2015,1,PM2.5,439,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,2,PM2.5,55.82636364,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,3,PM2.5,77.61823529,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,4,PM2.5,38.40905292,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,5,PM2.5,30.37292517,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,6,PM2.5,22.61575246,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,7,PM2.5,16.16836555,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,8,PM2.5,11.51007874,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,9,PM2.5,32.5226378,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,10,PM2.5,65.86790831,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,11,PM2.5,129.1545455,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2015,12,PM2.5,182.6103774,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2016,1,PM2.5,206.6649596,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2016,2,PM2.5,113.8995455,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2016,3,PM2.5,72.26450663,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
India,Kolkata,Monthly,2016,4,PM2.5,40.8815493,µg/m3,Measured,https://www.airnow.gov/index.cfm?action=airnow.global_summary#India$Kolkata,
