location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T12:00:00.000Z,2019-01-03T17:30:00+05:30,no2,82.3,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T12:00:00.000Z,2019-01-03T17:30:00+05:30,pm10,294,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T12:00:00.000Z,2019-01-03T17:30:00+05:30,pm25,212,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T12:00:00.000Z,2019-01-03T17:30:00+05:30,so2,31,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T12:00:00.000Z,2019-01-03T17:30:00+05:30,o3,44.7,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,so2,36.1,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,pm25,212,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,pm10,294,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,no2,76.2,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,o3,50.7,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:30:00.000Z,2019-01-03T17:00:00+05:30,co,1100,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:15:00.000Z,2019-01-03T16:45:00+05:30,pm25,212,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:15:00.000Z,2019-01-03T16:45:00+05:30,so2,39.7,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:15:00.000Z,2019-01-03T16:45:00+05:30,co,1000,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:15:00.000Z,2019-01-03T16:45:00+05:30,o3,59.4,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,pm10,245,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,pm25,162,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,o3,64.2,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,co,900,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,so2,40.1,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T11:00:00.000Z,2019-01-03T16:30:00+05:30,no2,68.2,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:45:00.000Z,2019-01-03T16:15:00+05:30,no2,64.7,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:45:00.000Z,2019-01-03T16:15:00+05:30,pm10,245,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:45:00.000Z,2019-01-03T16:15:00+05:30,pm25,162,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:45:00.000Z,2019-01-03T16:15:00+05:30,co,800,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:30:00.000Z,2019-01-03T16:00:00+05:30,no2,62.4,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-01-03T10:30:00.000Z,2019-01-03T16:00:00+05:30,so2,37.4,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
