Country,City,Year,Station Type,PM10,PM10 Type,PM2.5,PM2.5 Type,Reference,LAT,LNG,OpenAQ
Thailand,Nakhon Sawan,2016,1 N.A.,52.32414911,Measured,35.51562659,Converted,Pollution Control Department,15.70784823,100.1319285,Yes
Thailand,Nan,2016,2 N.A.,40.82395325,Measured,27.7097345,Converted,Pollution Control Department,19.16309852,100.9139122,Yes
Thailand,Narathiwat,2016,1 N.A.,32.32790802,Measured,21.94294469,Converted,Pollution Control Department,6.427698,101.823568,Yes
Thailand,Nonthaburi,2014,"2 stations, Industrial Urban Background",45.5,Measured,25.30668093,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",13.80715561,100.5063171,Yes
Thailand,Pathum Thani,2014,"1 station, Residential Urban Background",48,Measured,26.69715791,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",14.03751183,100.6051254,Yes
Thailand,Phayao,2014,"1 station, Residential Urban Background",41,Measured,22.80382238,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",19.16386223,99.90271759,No
Thailand,Phra Nakhon Si Ayutthaya,2014,"1 station, Residential Urban Background",55,Measured,30.59049344,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",14.3522253,100.5653534,No
Thailand,Phrae,2016,1 N.A.,48.09917018,Measured,32.64787286,Converted,Pollution Control Department,18.12614,100.1654,Yes
Thailand,Phuket,2014,"1 station, Residential Urban Background",24,Measured,13.34857895,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",7.884508133,98.39131927,Yes
Thailand,Ratchaburi,2016,1 N.A.,44.73325955,Measured,30.36322175,Converted,Pollution Control Department,13.532555,99.814873,Yes
Thailand,Rayong,2014,"4 stations, Res/Com urban Background",41,Measured,22.80382238,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",12.67152119,101.2758713,Yes
Thailand,Sa Kaeo,2016,1 N.A.,33.65871369,Measured,22.84624456,Converted,Pollution Control Department,13.68902848,102.5062069,Yes
Thailand,Samut Prakan,2014,"4 stations, Industrial Urban Background",50.75,Measured,28.22668258,Converted,"Air Quality and Noise Management Bureau, Pollution Control Department",13.59917164,100.5973282,Yes
Thailand,Samut Sakhon,2016,1 N.A.,46.94650048,Measured,31.86548485,Converted,Pollution Control Department,13.550478,100.264254,Yes
Thailand,Saraburi,2016,2 N.A.,76.43122631,Measured,51.87858646,Converted,Pollution Control Department,14.60331069,100.9021555,Yes
Thailand,Songkhla,2016,1 N.A.,41.55225738,Measured,28.20407942,Converted,Pollution Control Department,7.0100008,100.2900003,Yes
Thailand,Surat Thani,2016,1 N.A.,34.04021448,Measured,23.10519267,Converted,Pollution Control Department,9.136807951,99.32071594,Yes
Thailand,Yala,2016,1 N.A.,32.1393586,Measured,21.81496457,Converted,Pollution Control Department,6.549993793,101.2799986,Yes
Viet Nam,Da Nang,2011,1 N.A.,19,Measured,8.894043226,Converted,Government of Viet Nam,16.054407,108.202167,No
Viet Nam,Da Nang,2012,1 N.A.,20,Measured,9.362150764,Converted,Government of Viet Nam,16.054407,108.202167,No
Viet Nam,Da Nang,2013,1 N.A.,19.7,Measured,9.221718503,Converted,Government of Viet Nam,16.054407,108.202167,No
Viet Nam,Da Nang,2014,1 N.A.,19.8,Measured,9.268529257,Converted,Government of Viet Nam,16.054407,108.202167,No
Viet Nam,Da Nang,2015,1 N.A.,19.9,Measured,9.315340011,Converted,Government of Viet Nam,16.054407,108.202167,No
