country,city,location,sourceNames,count,firstUpdated,lastUpdated
IN,Delhi,Mandir Marg,"CPCB, Mandir Marg",105545,2015-06-29,2017-11-28
IN,Delhi,Anand Vihar,"Anand Vihar, CPCB",102326,2015-06-29,2017-11-28
IN,Delhi,NSIT Dwarka,CPCB,139114,2016-03-22,2017-11-28
IN,Delhi,"Anand Vihar, New Delhi - DPCC",data.gov.in,172,2018-03-09,2018-03-16
IN,Delhi,"Anand Vihar, Delhi - DPCC","CPCB, data.gov.in, caaqm",33714,2017-11-27,2019-02-14
IN,Delhi,"Aya Nagar, New Delhi - IMD","data.gov.in, caaqm",20470,2018-03-09,2018-11-19
IN,Delhi,"DTU, New Delhi - CPCB","data.gov.in, caaqm",38196,2018-03-09,2018-12-14
IN,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","data.gov.in, caaqm",30266,2018-03-20,2019-02-14
IN,Delhi,"IGI Airport Terminal - 3, New Delhi - IMD","data.gov.in, caaqm",3358,2018-03-09,2018-05-14
IN,Delhi,"Okhla Phase-2, Delhi - DPCC","data.gov.in, caaqm",6001,2018-03-20,2019-02-14
IN,Delhi,"North Campus, Delhi - IMD",CPCB,12407,2017-09-12,2018-02-21
IN,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","data.gov.in, caaqm",16799,2018-03-21,2019-02-14
IN,Delhi,"Delhi Technological University, Delhi - CPCB",CPCB,7257,2017-11-27,2018-02-22
IN,Delhi,"Mandir Marg, New Delhi - DPCC","data.gov.in, caaqm",23788,2018-03-09,2018-12-14
IN,Delhi,"Nehru Nagar, Delhi - DPCC","data.gov.in, caaqm",25399,2018-03-20,2019-02-14
IN,Delhi,"Sonia Vihar, Delhi - DPCC","data.gov.in, caaqm",17416,2018-03-20,2019-02-14
IN,Delhi,"Burari Crossing, Delhi - IMD","CPCB, caaqm",15891,2017-09-12,2019-02-14
IN,Delhi,"Punjabi Bagh, New Delhi - DPCC",data.gov.in,376,2018-03-09,2018-03-20
IN,Delhi,"Vivek Vihar, Delhi - DPCC","data.gov.in, caaqm",5510,2018-03-20,2019-02-14
IN,Delhi,RK Puram,RK Puram,46889,2015-06-29,2016-03-22
IN,Delhi,"Ashok Vihar, Delhi - DPCC","data.gov.in, caaqm",5511,2018-03-20,2019-02-14
IN,Delhi,"Burari Crossing, New Delhi - IMD","data.gov.in, caaqm",17931,2018-03-09,2018-12-14
IN,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","data.gov.in, caaqm",12331,2018-03-20,2019-02-14
IN,Delhi,"Jahangirpuri, Delhi - DPCC","data.gov.in, caaqm",12393,2018-03-20,2019-02-14
IN,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","data.gov.in, caaqm",12939,2018-03-20,2019-02-14
IN,Delhi,"North Campus, DU, New Delhi - IMD","data.gov.in, caaqm",21353,2018-03-09,2018-12-15
IN,Delhi,"Sirifort, New Delhi - CPCB","data.gov.in, caaqm",23977,2018-03-09,2018-12-15
IN,Delhi,IHBAS,CPCB,51981,2016-04-10,2017-11-28
IN,Delhi,Income Tax Office,CPCB,76715,2016-01-23,2017-11-28
IN,Delhi,"Narela, Delhi - DPCC","data.gov.in, caaqm",31272,2018-03-20,2019-02-14
IN,Delhi,"Punjabi Bagh, Delhi - DPCC","caaqm, CPCB, data.gov.in",38021,2017-11-27,2019-02-14
IN,Delhi,"Mandir Marg, Delhi - DPCC","CPCB, caaqm",11730,2017-11-28,2019-02-14
IN,Delhi,"ITO, Delhi - CPCB",caaqm,4240,2018-12-20,2019-02-14
IN,Delhi,"NSIT Dwarka, New Delhi - CPCB","data.gov.in, caaqm",40922,2018-03-09,2018-12-15
IN,Delhi,"Aya Nagar, Delhi - IMD","CPCB, caaqm",13400,2017-09-25,2019-02-14
IN,Delhi,"Shadipur, New Delhi - CPCB","caaqm, data.gov.in",41482,2018-03-09,2018-12-15
IN,Delhi,"Rohini, Delhi - DPCC","caaqm, data.gov.in",17318,2018-03-20,2019-02-14
IN,Delhi,"Pusa, Delhi - IMD","caaqm, CPCB",14100,2017-09-12,2019-02-13
IN,Delhi,"ITO, New Delhi - CPCB","caaqm, data.gov.in",26357,2018-03-09,2018-12-15
IN,Delhi,"IGI Airport Terminal-3, Delhi - IMD",CPCB,13229,2017-09-12,2018-02-21
IN,Delhi,"Najafgarh, Delhi - DPCC","data.gov.in, caaqm",5877,2018-03-20,2019-02-14
IN,Delhi,"CRRI Mathura Road, Delhi - IMD","caaqm, CPCB",13196,2017-09-12,2019-02-14
IN,Delhi,"Bawana, Delhi - DPCC",caaqm,20452,2018-08-10,2019-02-14
IN,Delhi,Delhi Technological University,CPCB,38663,2016-11-02,2017-11-28
IN,Delhi,Pusa2 IMD,CPCB,4,2017-11-07,2017-11-07
IN,Delhi,"Sirifort, Delhi - CPCB","caaqm, CPCB",6825,2017-11-28,2019-02-14
IN,Delhi,"R K Puram, Delhi - DPCC","caaqm, CPCB",12626,2017-11-28,2019-02-14
IN,Delhi,"Shadipur, Delhi - CPCB","CPCB, caaqm",25692,2017-11-28,2019-02-14
IN,Delhi,"Income Tax Office, Delhi - CPCB",CPCB,10678,2017-11-27,2018-02-22
IN,Delhi,"NSIT Dwarka, Delhi - CPCB","CPCB, caaqm",21412,2017-11-28,2019-02-14
IN,Delhi,"North Campus, DU, Delhi - IMD",caaqm,1950,2018-12-20,2019-02-14
IN,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",caaqm,4341,2018-12-14,2019-02-14
IN,Delhi,"Alipur, Delhi - DPCC",caaqm,4940,2018-12-14,2019-02-14
IN,Delhi,Siri Fort,CPCB,14372,2016-11-03,2017-11-28
IN,Delhi,"IHBAS, Delhi - CPCB",CPCB,14354,2017-11-28,2018-02-22
IN,Delhi,East Arjun Nagar-Delhi CPCB,CPCB,35939,2016-04-04,2018-02-21
IN,Delhi,East Arjun Nagar,CPCB,436,2016-04-02,2016-04-05
IN,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",caaqm,2999,2018-12-20,2019-02-14
IN,Delhi,R K Puram,CPCB,93705,2016-03-21,2017-11-28
IN,Delhi,"DTU, Delhi - CPCB",caaqm,4576,2018-12-14,2019-02-14
IN,Delhi,"Mundka, Delhi - DPCC",caaqm,5013,2018-12-14,2019-02-14
IN,Delhi,"Pusa, Delhi - DPCC",caaqm,2330,2018-12-14,2019-02-14
IN,Delhi,"East Arjun Nagar, Delhi - CPCB",caaqm,719,2018-08-10,2019-02-14
IN,Delhi,"IGI Airport (T3), New Delhi - IMD",caaqm,19449,2018-08-10,2018-12-15
IN,Delhi,US Diplomatic Post: New Delhi,StateAir_NewDelhi,26436,2015-12-11,2019-04-14
IN,Delhi,"IGI Airport (T3), Delhi - IMD",caaqm,2526,2018-12-20,2019-02-14
IN,Delhi,Delhi College Of Engineering,CPCB,1,2015-04-09,2015-04-09
IN,Dewas,"Bhopal Chauraha, Dewas - MPPCB","CPCB, data.gov.in, caaqm",62587,2017-11-20,2019-02-14
IN,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",caaqm,840,2019-02-12,2019-02-14
IN,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBSPCB",CPCB,78288,2016-09-20,2018-01-19
IN,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","data.gov.in, CPCB, caaqm",19300,2018-01-19,2019-02-14
IN,Faridabad,Sector16A Faridabad,CPCB,100978,2016-03-22,2017-11-28
IN,Faridabad,"Sector16A, Faridabad - HSPCB",CPCB,16836,2017-11-28,2018-02-22
IN,Faridabad,"Sector- 16A, Faridabad, Haryana - HSPCB","caaqm, data.gov.in",35254,2018-03-09,2018-12-28
IN,Faridabad,"Sector- 16A, Faridabad - HSPCB",caaqm,1071,2019-01-02,2019-02-14
IN,Fatehabad ,"Huda Sector, Fatehabad - HSPCB",caaqm,864,2019-02-12,2019-02-14
IN,Gandhinagar,"Sector-10, Gandhinagar - GPCB",caaqm,834,2019-02-12,2019-02-14
IN,Gaya,Collectorate - Gaya - BSPCB,CPCB,80392,2016-03-21,2018-02-22
IN,Gaya,"Collectorate, Gaya - BSPCB","data.gov.in, caaqm",36828,2018-03-09,2019-02-14
IN,Ghaziabad,"Vasundhara, Ghaziabad, UP - UPPCB","data.gov.in, caaqm",50546,2018-03-09,2018-12-28
IN,Ghaziabad,Vasundhara,CPCB,18,2017-04-18,2017-04-19
IN,Ghaziabad,Vasundhara - Ghaziabad - UPPCB,CPCB,104431,2017-04-18,2018-02-22
IN,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",caaqm,1264,2019-01-02,2019-02-14
IN,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",caaqm,38631,2018-08-10,2019-02-14
IN,Gurgaon,Vikas Sadan Gurgaon - HSPCB,CPCB,152863,2016-03-25,2018-02-22
IN,Gurgaon,"Vikas Sadan, Gurgaon, Haryana - HSPCB","data.gov.in, caaqm",31753,2018-03-09,2018-11-14
IN,Gurugram,"Vikas Sadan, Gurugram, Haryana - HSPCB",caaqm,5104,2018-11-14,2018-12-28
IN,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",caaqm,443,2018-11-14,2019-02-12
IN,Gurugram,"Vikas Sadan, Gurugram - HSPCB",caaqm,1093,2019-01-02,2019-02-14
IN,Haldia,Haldia - WBSPCB,CPCB,114264,2016-03-22,2018-01-19
IN,Haldia,"Haldia, Haldia - WBPCB","data.gov.in, caaqm",34488,2018-03-09,2019-02-14
IN,Haldia,Haldia - WBPCB,CPCB,4235,2018-01-18,2018-02-22
IN,Hapur,"Anand Vihar, Hapur - UPPCB",caaqm,10075,2018-10-23,2019-02-14
IN,Hisar,"Urban Estate-II, Hisar - HSPCB",caaqm,875,2019-02-12,2019-02-14
IN,Howrah,"Padmapukur, Howrah - WBPCB","data.gov.in, CPCB, caaqm",41674,2018-01-19,2019-02-14
